,count,mean,std,min,25%,50%,75%,max,na_pct
temperature,3984.0,22.273553284431724,8.680904971165571,-24.9,17.53661290322581,24.420490196078433,28.0298099078341,45.0,0.0
precipitation,3984.0,3.8565913654618473,6.261539984728327,0.0,0.07,1.46,4.7125,70.28999999999999,0.0
wind_speed,3984.0,3.6239209461216233,1.7793170659525837,1.0000080000000002,2.3064700645161293,3.419830225806452,4.622796838709679,32.478963533333335,0.0
humidity,3984.0,65.33795947153834,21.579708921299623,4.966666666666667,51.16963292547275,69.852688172043,82.04291474654379,100.0,0.0
